State,<1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"Unborn, Unknown, and 18â€“21", Total Victims,"<1 Rate per 1,000 Children","1 Rate per 1,000 Children","2 Rate per 1,000 Children","3 Rate per 1,000 Children","4 Rate per 1,000 Children","5 Rate per 1,000 Children","6 Rate per 1,000 Children","7 Rate per 1,000 Children","8 Rate per 1,000 Children","9 Rate per 1,000 Children","10 Rate per 1,000 Children","11 Rate per 1,000 Children","12 Rate per 1,000 Children","13 Rate per 1,000 Children","14 Rate per 1,000 Children","15 Rate per 1,000 Children","16 Rate per 1,000 Children","17 Rate per 1,000 Children"
Alabama,1945,761,714,731,668,621,578,567,544,553,551,500,491,563,629,568,403,261,29,11677,34.2,13.1,12.1,12.2,11.1,10.4,9.9,9.5,9.1,9.2,9,7.9,7.8,9.1,10.2,9.2,6.5,4.2
Alaska,416,221,232,193,205,194,175,166,168,156,161,157,131,129,106,88,92,58,11,3059,41.7,22.1,22.8,18.4,19.7,18.6,17,16.1,16.1,15.4,16.1,15.7,13.2,13.6,11,9.3,9.8,6.2
Arizona,3380,830,836,738,655,650,564,570,572,532,493,466,517,479,441,426,380,300,18,12847,41.3,10,9.8,8.4,7.2,7.2,6.2,6.3,6.3,5.9,5.3,4.8,5.3,5,4.6,4.5,4.1,3.2
Arkansas,1814,524,528,487,459,425,381,397,356,321,378,336,327,348,374,362,301,228,76,8422,49.9,14.2,14.1,12.6,11.8,11.1,10,10.2,9.2,8.2,9.7,8.3,8,8.7,9.4,9.1,7.6,5.8
California,10134,4221,3931,3796,3601,3653,3356,3449,3155,3189,3094,3119,3038,2826,2681,2609,2379,1824,60,64115,21.9,9.1,8.2,7.8,7.3,7.4,6.8,7,6.3,6.5,6.3,6.1,5.9,5.6,5.3,5.2,4.7,3.7
Colorado,1773,801,781,719,751,632,675,660,644,667,677,625,593,547,516,476,384,263,62,12246,27.5,12.3,11.8,10.6,10.9,9.2,9.9,9.6,9.2,9.3,9.5,8.6,8.1,7.5,7.1,6.5,5.3,3.7
Connecticut,1062,547,471,420,421,463,480,450,413,424,414,406,392,411,368,359,298,213,30,8042,30.7,15.4,13,11.3,11.1,12.2,12.6,11.6,10.4,10.6,10.2,9.6,9.1,9.4,8.2,7.9,6.6,4.6
Delaware,126,95,68,69,65,88,78,70,68,76,55,56,60,68,56,63,48,35,4,1248,11.9,8.9,6.1,6.1,5.8,7.9,7.1,6.2,5.9,6.7,4.9,4.8,5.2,5.8,4.9,5.4,4.1,3
District of Columbia,206,95,87,126,107,132,131,131,114,116,105,77,88,76,80,70,54,50,12,1857,21.6,10.3,9.6,14.3,12.2,16.6,16,16.6,15.3,17.3,16.6,12.5,14.8,13.8,15.1,13.7,10.7,9.6
Florida,5126,2493,2378,2310,2037,1913,1844,1659,1507,1602,1500,1440,1391,1271,1249,1256,1017,811,111,32915,23.1,11.1,10.4,9.9,8.8,8.2,8,7.1,6.4,6.9,6.4,5.9,5.7,5.2,5.2,5.2,4.3,3.3
Georgia,2402,585,510,534,527,479,492,480,478,454,479,452,499,432,400,424,311,149,15,10102,18.9,4.5,3.9,4,3.9,3.5,3.7,3.5,3.4,3.3,3.4,3.1,3.4,2.9,2.7,2.9,2.2,1
Hawaii,207,86,69,76,77,76,79,58,62,57,74,69,70,58,59,63,61,37,4,1342,12.3,5.1,4,4.4,4.5,4.3,4.5,3.3,3.6,3.4,4.6,4.1,4.3,3.6,3.7,3.9,3.9,2.4
Idaho,466,105,96,105,90,85,87,68,81,66,84,84,73,88,80,93,67,51,,1869,21.1,4.7,4.2,4.4,3.7,3.5,3.5,2.8,3.2,2.6,3.3,3.2,2.7,3.4,3,3.5,2.6,2
Illinois,4291,2516,2350,2260,2175,2002,1926,1819,1777,1810,1739,1542,1533,1400,1283,1158,1001,682,67,33331,29.9,17.2,15.7,14.8,14.1,13.1,12.7,11.9,11.4,11.6,11.1,9.6,9.4,8.6,7.9,7,6.1,4.1
Indiana,4935,1549,1392,1281,1250,1221,1179,1139,1043,1010,1063,1015,995,911,911,928,707,472,28,23029,61.4,18.8,16.7,15,14.4,14.2,13.6,13.2,12.1,11.6,12.2,11.3,11,10.1,10.2,10.2,7.8,5.3
Iowa,1723,828,759,758,776,656,692,583,611,616,634,571,536,487,475,395,333,206,9,11648,45.9,21.6,19.4,18.9,19.2,16.2,17.3,14.7,15.6,15.1,15.5,13.6,12.7,11.6,11.5,9.6,8.1,5.1
Kansas,219,168,143,163,153,175,183,148,183,193,162,144,184,162,153,188,130,89,5,2945,6.2,4.7,3.8,4.3,4,4.5,4.7,3.8,4.6,4.8,4.1,3.6,4.6,4.1,3.9,4.7,3.3,2.3
Kentucky,3016,1378,1403,1312,1269,1159,1113,1066,1018,1065,969,940,951,853,734,719,643,463,59,20130,56.7,25.5,25.8,23.8,22.8,20.8,20,19.3,18.5,19.4,17.4,16.5,16.5,15,12.9,12.6,11.4,8.2
Louisiana,2759,491,476,415,378,389,343,374,321,319,311,341,327,280,266,292,233,114,12,8441,47.6,8.3,7.8,6.7,6.1,6.3,5.7,6.3,5.4,5.3,5.2,5.5,5.2,4.6,4.4,4.9,3.9,1.9
Maine,506,277,272,287,279,277,268,250,242,261,245,274,226,211,192,143,115,79,9,4413,42,22.4,21.4,21.9,20.9,20.8,19.9,18.7,18.1,18.7,17.6,19,15.4,14.3,12.9,9.6,7.6,5.2
Maryland,566,405,408,499,437,468,445,451,408,393,417,426,403,409,416,413,384,283,30,7661,8.1,5.7,5.6,6.8,5.9,6.4,6.1,6.1,5.4,5.3,5.7,5.6,5.3,5.4,5.5,5.5,5.1,3.8
Massachusetts,3022,1463,1420,1373,1357,1344,1458,1434,1335,1372,1372,1367,1259,1225,1197,1187,1001,806,37,25029,42.7,20.7,19.9,19.1,18.7,18.5,19.9,19.5,17.8,18.6,18.6,17.9,16.3,15.8,15.3,14.7,12.3,9.8
Michigan,4176,2412,2275,2124,2035,1957,1926,1829,1790,1698,1630,1534,1547,1492,1419,1313,1124,697,65,33043,38.3,21.8,20,18.4,17.4,16.7,16.6,15.7,15.2,14.3,13.8,12.7,12.6,12.1,11.4,10.4,8.9,5.5
Minnesota,1010,427,441,407,400,412,384,360,347,348,369,328,349,287,261,264,212,163,11,6780,14.9,6.2,6.2,5.7,5.5,5.6,5.3,5,4.8,4.8,5.1,4.4,4.7,3.9,3.5,3.5,2.9,2.3
Mississippi,1225,530,455,477,477,500,486,498,473,504,500,523,556,505,474,513,415,243,23,9377,34.5,14.6,12.3,12.8,12.7,13.4,13.1,13.1,12.4,13.1,12.5,12.5,13,12.3,11.7,12.8,10.4,6.2
Missouri,317,273,267,299,268,232,244,244,258,275,266,238,267,288,298,330,266,131,1,4762,4.5,3.8,3.6,4,3.5,3.1,3.2,3.2,3.4,3.6,3.5,3,3.4,3.7,3.8,4.2,3.4,1.7
Montana,457,286,273,271,261,241,209,202,194,187,186,186,193,144,127,117,107,64,31,3736,39.2,24.8,22.1,21.4,20.2,18.7,16.4,15.8,15.3,14.6,14.5,14,14.4,11,9.9,9.1,8.4,5.1
Nebraska,368,201,208,176,194,194,155,144,138,143,127,131,111,107,119,116,91,78,21,2822,14.6,7.9,7.9,6.6,7.1,7.2,5.9,5.5,5.2,5.4,4.7,4.8,4.1,4,4.4,4.4,3.4,3
Nevada,805,358,365,315,337,258,280,271,251,255,251,209,205,198,193,179,146,118,5,4999,22.5,10,9.8,8.3,8.7,6.8,7.3,7.1,6.4,6.5,6.5,5.1,5.1,5,4.9,4.6,3.8,3.1
New Hampshire,165,92,84,82,68,65,60,64,60,67,58,63,52,61,51,40,45,37,3,1217,13.7,7.5,6.5,6.3,5.1,4.9,4.4,4.7,4.2,4.8,4.1,4.3,3.4,4,3.3,2.5,2.8,2.3
New Jersey,684,300,266,303,282,301,271,263,276,271,252,294,254,272,248,246,179,154,16,5132,6.9,3,2.6,2.9,2.7,2.9,2.6,2.5,2.5,2.5,2.4,2.7,2.3,2.4,2.2,2.2,1.6,1.4
New Mexico,1115,489,446,445,451,469,492,470,468,479,471,407,348,363,334,273,260,182,63,8025,48.4,21,18.6,17.8,17.6,18.1,18.8,17.9,17.3,17.6,17.1,14.5,12.4,13,12,10,9.4,6.6
New York,6444,4001,3837,3741,3659,3924,4126,3971,3836,3696,3712,3598,3457,3359,3412,3492,3124,1738,142,67269,28.8,17.9,17,16.5,16.1,17.6,18.4,17.7,17,16.8,17.3,16.3,15.6,15.2,15.3,15.4,13.7,7.6
North Carolina,559,339,350,326,321,314,331,300,306,315,338,332,305,308,295,254,204,90,14,5601,4.7,2.8,2.9,2.6,2.6,2.5,2.7,2.4,2.4,2.5,2.6,2.5,2.3,2.3,2.2,1.9,1.5,0.7
North Dakota,218,124,134,117,129,103,114,111,94,96,95,96,83,82,66,55,40,20,20,1797,20.8,11.8,12.1,10.7,11.7,9.7,11,10.9,9.5,9.7,9.6,9.8,8.5,8.6,7,6.1,4.5,2.3
Ohio,4194,1501,1383,1457,1383,1360,1425,1351,1233,1228,1250,1166,1282,1200,1154,1121,972,714,96,25470,31.4,11,10,10.3,9.7,9.6,10,9.6,8.8,8.7,8.7,8,8.7,8.1,7.8,7.5,6.5,4.8
Oklahoma,2524,1162,1136,1033,976,927,854,766,744,712,726,706,654,583,497,434,397,249,68,15148,52.1,23.5,22.1,19.5,18.3,17.3,15.9,14.3,13.8,13.3,13.5,12.9,11.9,10.9,9.3,8.2,7.5,4.7
Oregon,1407,892,863,860,812,871,795,756,741,762,752,683,668,632,567,548,502,343,89,13543,32.5,20.3,19,18.2,17,18.1,16.6,15.7,15.1,15.5,15.4,13.5,13.2,12.7,11.6,11.1,10.2,7
Pennsylvania,411,258,223,220,212,211,215,205,217,236,221,235,317,315,360,364,289,237,71,4817,3.1,1.9,1.6,1.5,1.5,1.5,1.5,1.4,1.5,1.6,1.5,1.6,2.1,2.1,2.4,2.4,1.9,1.5
Puerto Rico,285,257,251,218,274,323,299,295,291,293,277,237,263,258,253,261,226,162,15,4738,13.3,12.5,11,8.6,10.1,11.1,9.9,9.3,9,8.5,7.9,6.7,7.2,6.9,6.6,6.9,6,4.1
Rhode Island,480,203,206,211,191,158,196,176,173,168,152,154,153,132,112,136,93,74,15,3183,45.6,18.6,19.1,18.9,17.2,14.4,18.1,16,15.6,15.2,13.9,13.4,13.2,11.1,9.3,11.1,7.5,5.9
South Carolina,2431,1314,1232,1144,1054,1100,1062,1047,1009,970,935,941,863,756,742,711,556,320,530,18717,43.3,23,21.1,19.2,17.3,18.1,17.5,17.1,16.4,15.5,14.6,14.4,13,11.7,11.7,11.2,8.9,5.1
South Dakota,255,141,125,96,109,97,89,78,73,71,59,62,67,62,59,33,30,26,5,1537,21.3,11.6,10.2,7.8,8.8,7.8,7.3,6.4,6,5.9,4.9,5,5.4,5.2,5,2.8,2.7,2.3
Tennessee,2221,782,521,508,488,464,424,390,365,386,366,391,485,425,444,401,374,326,98,9859,27.8,9.6,6.4,6.1,5.8,5.6,5.1,4.7,4.4,4.6,4.4,4.5,5.6,4.9,5.2,4.7,4.4,3.8
Texas,11614,5471,5195,4839,4604,4300,3333,3018,2819,2753,2616,2425,2339,2143,2037,1792,1572,927,296,64093,30.7,14.3,13,11.7,11,10.3,8.1,7.4,6.8,6.6,6.3,5.7,5.5,5.1,4.9,4.3,3.8,2.3
Utah,1209,551,601,522,545,543,571,534,519,517,530,559,546,562,627,645,550,427,21,10579,24.9,11.5,12.2,10.3,10.6,10.6,11,10.6,10,9.8,10,10.3,10,10.5,11.8,12.2,10.5,8.4
Vermont,60,54,55,61,49,52,47,28,43,45,41,33,43,41,61,49,41,42,6,851,10.8,9.7,9.3,10.3,8.1,8.3,7.7,4.5,6.9,7.1,6.5,5,6.3,6.1,9.1,7.1,5.9,6.1
Virginia,749,441,438,408,376,372,349,303,303,302,285,280,287,280,260,236,220,148,122,6159,7.7,4.4,4.3,4,3.6,3.6,3.4,2.9,2.9,2.9,2.8,2.6,2.7,2.6,2.5,2.2,2.1,1.4
Washington,399,314,322,289,265,256,258,221,215,224,206,208,211,206,191,186,143,103,5,4222,4.5,3.6,3.5,3.1,2.8,2.7,2.7,2.4,2.3,2.4,2.2,2.2,2.2,2.2,2.1,2,1.6,1.1
West Virginia,1321,401,412,354,392,403,411,378,388,342,287,302,284,280,232,205,176,123,36,6727,74.4,22.3,22.1,18.6,19.9,20.2,20.4,18.8,19.4,17.1,14.3,14.5,13.6,13.5,11.2,9.7,8.4,5.8
Wisconsin,537,314,308,277,288,284,291,264,225,231,213,228,231,214,203,195,150,111,12,4576,8.5,4.9,4.6,4.1,4.2,4.2,4.2,3.8,3.2,3.2,3,3.1,3.1,2.9,2.8,2.6,2,1.5
Wyoming,145,84,77,75,71,65,79,50,66,64,45,60,41,42,45,38,32,16,1,1096,22.1,12.5,10.9,10.3,9.7,8.8,10.7,6.8,8.9,8.2,5.8,7.5,5.1,5.4,5.8,5.1,4.3,2.2
National,97879,44411,42073,40307,38708,37858,36303,34576,33015,32890,32193,31016,30545,28831,27807,26827,22878,15537,2589,656243,25.7,11.5,10.7,10,9.5,9.3,9,8.5,8.1,8,7.9,7.3,7.2,6.8,6.6,6.4,5.5,3.7
Reporting States,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,,,,,,,,,,,,,,,,,,
